waist,shoulder,elbow,wrist_angle,wrist_rotate
2.93662,3.49722,3.6631,2.43746,3.03031
2.93509,3.51258,3.65388,2.43439,3.03031
2.93048,3.52794,3.6462,2.43285,3.03031
2.92741,3.5433,3.63699,2.42824,3.03031
2.9228,3.55558,3.63084,2.42363,3.03031
2.92126,3.56787,3.62316,2.41903,3.03031
2.91819,3.57709,3.61702,2.41288,3.03031
2.91665,3.58937,3.61088,2.4052,3.03031
2.91205,3.59859,3.60627,2.39599,3.03031
2.91051,3.60627,3.60013,2.38677,3.03031
2.90744,3.61395,3.59552,2.37909,3.03031
2.90437,3.62163,3.58937,2.36834,3.02877
2.9013,3.62931,3.58323,2.35913,3.02877
2.89822,3.63545,3.58016,2.34838,3.02877
2.89515,3.64313,3.57555,2.33762,3.02877
2.89208,3.65235,3.57094,2.32687,3.02877
2.88901,3.66003,3.56787,2.31459,3.02877
2.88594,3.66924,3.56326,2.30076,3.02877
2.88287,3.67692,3.56019,2.29155,3.02877
2.87979,3.68767,3.55712,2.28387,3.03031
2.87826,3.69535,3.55405,2.27465,3.03185
2.87672,3.70303,3.55098,2.26237,3.03185
2.87365,3.71071,3.54637,2.25469,3.03185
2.87211,3.71532,3.5433,2.24701,3.03185
2.87211,3.72146,3.54176,2.24086,3.03185
2.87058,3.72453,3.53869,2.23472,3.03185
2.87058,3.72914,3.53715,2.23011,3.03338
2.86904,3.73375,3.53408,2.22704,3.03338
2.86904,3.73836,3.53255,2.2255,3.03338
2.86904,3.74143,3.52947,2.2255,3.03338
2.86751,3.7445,3.52794,2.2255,3.03338
2.86597,3.74911,3.5264,2.22397,3.03338
2.86443,3.75371,3.52487,2.22243,3.03338
2.8629,3.75679,3.5218,2.2209,3.03338
2.85983,3.76139,3.52026,2.21936,3.03338
2.85983,3.76447,3.51719,2.21782,3.03338
2.85829,3.76907,3.51412,2.21475,3.03338
2.85675,3.77368,3.51104,2.21015,3.03338
2.85675,3.77829,3.50797,2.20861,3.03492
2.85522,3.7829,3.5049,2.20554,3.03645
2.85368,3.78597,3.50029,2.20247,3.03799
2.85368,3.79058,3.49722,2.19939,3.03953
2.85215,3.79365,3.49261,2.19632,3.04106
2.85215,3.79672,3.48954,2.19171,3.0426
2.85215,3.79979,3.48647,2.18864,3.04413
2.85215,3.80286,3.48186,2.18557,3.04413
2.85061,3.8044,3.47725,2.18404,3.04567
2.84908,3.80747,3.47418,2.1825,3.04721
2.84908,3.80901,3.47111,2.18096,3.04874
2.84908,3.81054,3.46804,2.18096,3.04874
2.84754,3.81208,3.4665,2.17943,3.05028
2.846,3.81515,3.46343,2.17943,3.05181
2.846,3.81669,3.46343,2.17943,3.05181
2.846,3.81822,3.4619,2.17943,3.05488
2.84447,3.81976,3.46343,2.17943,3.05488
2.84447,3.82129,3.4619,2.17943,3.05642
2.84447,3.82437,3.4619,2.17943,3.05796
2.84447,3.8259,3.4619,2.17943,3.05949
