waist,shoulder,elbow,wrist_angle,wrist_rotate
3.23919,3.03953,4.20066,2.2639,3.124
3.2438,3.05181,4.19912,2.25469,3.12554
3.24994,3.06103,4.19912,2.24701,3.12554
3.25609,3.07178,4.19759,2.23933,3.12554
3.26223,3.08253,4.19605,2.23318,3.12554
3.26837,3.09175,4.19298,2.22858,3.12554
3.27759,3.1025,4.19144,2.22397,3.12554
3.28373,3.11018,4.18837,2.22243,3.12707
3.29295,3.11939,4.1853,2.2209,3.12707
3.30063,3.12707,4.18223,2.21936,3.12707
3.30677,3.13629,4.18069,2.21782,3.12861
3.31291,3.14397,4.17762,2.21629,3.12861
3.31906,3.15165,4.17455,2.21629,3.12861
3.3252,3.15933,4.17148,2.21629,3.13014
3.33134,3.16854,4.1684,2.21629,3.13014
3.33595,3.17776,4.16533,2.21629,3.13168
3.34056,3.18697,4.16226,2.21475,3.13475
3.34517,3.19772,4.15765,2.21475,3.13629
3.34978,3.20847,4.15458,2.21322,3.13782
3.35438,3.21769,4.14997,2.21015,3.14089
3.35899,3.22844,4.14537,2.20861,3.14397
3.36206,3.23766,4.14076,2.20707,3.14704
3.36821,3.24687,4.13615,2.204,3.15011
3.37281,3.25762,4.13154,2.20093,3.15318
3.37742,3.26684,4.12847,2.19786,3.15779
3.38203,3.27759,4.12386,2.19325,3.15933
3.38664,3.28834,4.11926,2.18864,3.16393
3.39124,3.29756,4.11618,2.18557,3.167
3.39585,3.30677,4.11311,2.17943,3.17008
3.40046,3.31445,4.10851,2.17482,3.17315
3.40353,3.3252,4.10543,2.16868,3.17622
3.4066,3.33288,4.10236,2.16407,3.17929
3.41121,3.3421,4.09775,2.15793,3.18236
3.41428,3.34978,4.09468,2.15332,3.1839
3.41582,3.35745,4.09161,2.14564,3.18697
3.42043,3.36513,4.08854,2.14103,3.18851
3.4235,3.37128,4.08547,2.13489,3.19004
3.42657,3.37742,4.08393,2.13028,3.19004
3.42964,3.38357,4.08086,2.12567,3.19158
3.43425,3.38971,4.07779,2.1226,3.19158
3.43732,3.39739,4.07625,2.11799,3.19158
3.44039,3.40353,4.07318,2.11492,3.19311
3.44346,3.41121,4.07011,2.10878,3.19311
3.44654,3.41582,4.06704,2.1057,3.19311
3.44961,3.42043,4.06396,2.10263,3.19311
3.45268,3.42657,4.06089,2.09956,3.19311
3.45575,3.43271,4.05782,2.09495,3.19311
3.45882,3.43886,4.05628,2.08881,3.19311
3.4619,3.445,4.05321,2.0842,3.19311
3.46497,3.45114,4.05014,2.08113,3.19619
3.46804,3.45575,4.04861,2.07499,3.19619
3.46957,3.4619,4.04553,2.07038,3.19619
3.47265,3.46804,4.044,2.06424,3.19619
3.47572,3.47418,4.044,2.05809,3.19772
