waist,shoulder,elbow,wrist_angle,wrist_rotate
3.14089,2.75999,3.3467,3.2269,3.12707
3.14397,2.77075,3.3421,3.22383,3.12707
3.14857,2.77996,3.33749,3.2223,3.12707
3.15165,2.78918,3.33442,3.21922,3.12707
3.15625,2.79839,3.33134,3.21769,3.12707
3.16086,2.80914,3.32827,3.21769,3.12707
3.16393,2.81682,3.32367,3.21462,3.12707
3.16547,2.82604,3.32059,3.21001,3.12707
3.167,2.83525,3.31599,3.20847,3.12707
3.16854,2.8414,3.31291,3.20847,3.12707
3.16854,2.84754,3.30984,3.20694,3.12707
3.17008,2.85368,3.30831,3.2054,3.12707
3.16854,2.85829,3.30677,3.20387,3.12707
3.16854,2.8629,3.30677,3.20387,3.12707
3.167,2.86751,3.30523,3.20233,3.12707
3.167,2.87058,3.3037,3.20079,3.12707
3.167,2.87211,3.3037,3.20079,3.12707
3.167,2.87519,3.30216,3.20079,3.12707
3.16547,2.87672,3.30216,3.20079,3.12707
3.16547,2.87979,3.30063,3.19926,3.12707
3.16547,2.88133,3.30063,3.19926,3.12707
3.16393,2.88287,3.29909,3.20079,3.12707
3.16393,2.88594,3.29602,3.19926,3.12707
3.1624,2.88747,3.29295,3.19926,3.12707
3.1624,2.89054,3.28988,3.20079,3.12707
3.1624,2.89362,3.2868,3.19926,3.12707
3.1624,2.89669,3.2822,3.19926,3.12707
3.1624,2.90283,3.27605,3.19926,3.12707
3.1624,2.9059,3.27145,3.19926,3.12707
3.1624,2.91205,3.2653,3.19926,3.12707
3.1624,2.91665,3.26069,3.19926,3.12707
3.16393,2.92126,3.25609,3.19926,3.12707
3.16393,2.92587,3.25148,3.19926,3.12707
3.16393,2.93048,3.24687,3.19926,3.12707
3.16547,2.93662,3.24226,3.19772,3.12707
3.16547,2.94123,3.23766,3.19772,3.12707
3.16547,2.94584,3.23305,3.19772,3.12707
3.167,2.95044,3.22844,3.19465,3.12707
3.16854,2.95659,3.22537,3.19465,3.12707
3.16854,2.95966,3.22076,3.19311,3.12707
