waist,shoulder,elbow,wrist_angle,wrist_rotate,hand_x,hand_y,hand_z
3.13322,3.13782,3.59705,2.87211,3.26069,400.441,-3.3548,194.583
3.13322,3.167,3.61395,2.8414,3.26069,401.544,-3.36404,182.238
3.13322,3.19004,3.63084,2.82911,3.25916,401.143,-3.36069,169.27
3.13322,3.2054,3.6462,2.82757,3.25916,399.733,-3.34887,158.167
3.13322,3.21462,3.64927,2.82757,3.25916,399.653,-3.34821,153.451
3.13322,3.21155,3.64467,2.82757,3.25762,400.237,-3.35309,156.227
3.13014,3.19465,3.64159,2.82911,3.25916,399.829,-4.57799,163.765
3.12861,3.15779,3.64159,2.83679,3.25762,397.413,-5.16079,177.158
3.12861,3.11171,3.64006,2.8414,3.25762,394.098,-5.11774,195.143
3.13014,3.05335,3.63392,2.9059,3.25762,387.734,-4.4395,209.057
3.13014,2.99038,3.61548,3.03645,3.25762,379,-4.3395,217.492
3.13014,2.9228,3.60934,3.19311,3.25762,365.555,-4.18555,218.513
3.13014,2.85983,3.60934,3.32367,3.25916,351.433,-4.02386,219.624
3.13014,2.803,3.60934,3.41428,3.25916,339.318,-3.88515,224.631
3.13014,2.74771,3.61395,3.46804,3.25762,328.846,-3.76524,232.841
3.13014,2.68934,3.62009,3.5049,3.25916,318.588,-3.64778,243.605
3.12861,2.62791,3.64313,3.54637,3.25916,306.127,-3.97535,247.804
3.12861,2.55572,3.67846,3.59552,3.25762,290.879,-3.77735,248.735
3.13014,2.48046,3.71685,3.64006,3.25916,275.444,-3.15379,249.131
3.12861,2.4052,3.74911,3.66924,3.25916,261.527,-3.39618,253.094
3.13014,2.3238,3.77675,3.71071,3.25916,246.227,-2.81926,257.179
3.13014,2.23779,3.79672,3.77982,3.25762,228.73,-2.61892,259.345
3.13014,2.14257,3.81669,3.86737,3.25916,208.729,-2.38992,259.068
3.13014,2.04734,3.84126,3.94416,3.25916,189.693,-2.17196,257.21
3.13014,1.94904,3.86737,4.01789,3.25916,170.946,-1.9573,254.233
3.13014,1.85535,3.89962,4.07779,3.25762,154.668,-1.77092,249.087
3.13014,1.76474,3.93956,4.11618,3.25916,141.483,-1.61997,243.15
3.13014,1.68334,3.98563,4.14076,3.25916,131.722,-1.5082,235.262
3.13014,1.61422,4.0225,4.14229,3.25916,125.331,-1.43503,231.952
3.13014,1.55739,4.05475,4.14229,3.25916,120.747,-1.38254,228.55
3.12861,1.50824,4.087,4.14229,3.25916,117.468,-1.52544,224.055
3.13014,1.46217,4.11311,4.14229,3.25916,114.434,-1.31025,221.056
3.13014,1.41609,4.13308,4.14229,3.25916,111.169,-1.27287,219.911
3.13014,1.36694,4.15305,4.14229,3.25916,107.799,-1.23428,218.999
3.13014,1.3224,4.17301,4.14076,3.25916,105.198,-1.2045,217.762
3.13322,1.28093,4.18991,4.13615,3.25916,102.875,-0.861865,217.623
3.13322,1.24407,4.20834,4.13462,3.25916,101.253,-0.848275,215.976
3.13322,1.23946,4.22523,4.13308,3.25916,102.825,-0.861443,211.515
3.13322,1.23946,4.24981,4.13308,3.25916,105.583,-0.884551,203.907
3.13322,1.23946,4.30203,4.13308,3.25916,110.819,-0.928417,187.527
3.13322,1.23946,4.37575,4.13308,3.25916,116.74,-0.978025,163.986
3.13322,1.23946,4.46022,4.11004,3.25916,122.922,-1.02981,140.264
3.13322,1.23946,4.54163,4.00406,3.25916,132.887,-1.1133,130.313
3.13322,1.23946,4.62149,3.87966,3.25916,142.579,-1.1945,123.336
3.13322,1.23946,4.69214,3.80901,3.25916,147.91,-1.23916,110.253
3.13475,1.23946,4.75358,3.77368,3.25916,150.317,-1.02844,94.2916
3.13322,1.23946,4.79812,3.75218,3.25916,151.284,-1.26743,81.9379
3.13322,1.23946,4.82269,3.74604,3.25916,151.248,-1.26712,74.1687
3.13322,1.23946,4.83805,3.74757,3.25916,150.774,-1.26315,68.4475
3.13322,1.23946,4.83805,3.74757,3.25916,150.774,-1.26315,68.4475
3.13475,1.23946,4.83652,3.75371,3.25916,150.399,-1.029,68.0099
3.13322,1.23946,4.83652,3.75525,3.25916,150.291,-1.25911,67.7641
3.13322,1.23946,4.83652,3.75525,3.25916,150.291,-1.25911,67.7641
3.13322,1.23946,4.83652,3.75371,3.25916,150.397,-1.25999,68.0099
3.13475,1.23946,4.83652,3.75371,3.25916,150.399,-1.029,68.0099
3.13322,1.23946,4.83652,3.75371,3.25916,150.397,-1.25999,68.0099
3.13475,1.23946,4.83652,3.75525,3.25916,150.293,-1.02828,67.7641
3.13322,1.23946,4.83652,3.75371,3.25916,150.397,-1.25999,68.0099
3.13322,1.23946,4.83652,3.75371,3.25916,150.397,-1.25999,68.0099
3.13322,1.23946,4.83652,3.75525,3.25916,150.291,-1.25911,67.7641
3.13322,1.23946,4.83652,3.75525,3.25916,150.291,-1.25911,67.7641
3.13322,1.23946,4.83652,3.75525,3.25916,150.291,-1.25911,67.7641
