waist,shoulder,elbow,wrist_angle,wrist_rotate
3.19619,3.04106,3.13168,3.81822,3.18697
3.19311,3.05335,3.12707,3.81822,3.19465
3.19311,3.0641,3.12246,3.81822,3.20233
3.19158,3.07485,3.12093,3.81669,3.21155
3.19158,3.08407,3.11632,3.81669,3.21922
3.19158,3.09175,3.11325,3.81822,3.22844
3.19004,3.09943,3.11018,3.81822,3.23612
3.19004,3.10557,3.1071,3.81822,3.2438
3.19004,3.11018,3.1025,3.81669,3.25148
3.19311,3.11325,3.09789,3.80747,3.25916
3.19619,3.11632,3.09789,3.79058,3.26377
3.19772,3.11786,3.09789,3.76139,3.26684
3.19772,3.11786,3.09789,3.72607,3.26991
3.19926,3.11939,3.09943,3.68614,3.27452
3.20079,3.12093,3.10096,3.63852,3.27912
3.20233,3.12093,3.10403,3.5863,3.28527
3.20694,3.12246,3.1071,3.52947,3.29141
3.21001,3.124,3.11018,3.46957,3.29756
3.21308,3.12707,3.11478,3.40814,3.30216
3.21462,3.12861,3.12093,3.34517,3.30677
3.21769,3.13168,3.12707,3.2868,3.31291
3.21922,3.13475,3.13475,3.2269,3.31906
3.22076,3.13782,3.14397,3.17008,3.3252
3.2223,3.14089,3.15165,3.11632,3.33442
3.22537,3.1455,3.15933,3.06717,3.3421
3.22844,3.14857,3.16547,3.01956,3.34978
3.23151,3.15165,3.17008,2.97809,3.35899
3.23305,3.15472,3.17776,2.94123,3.36667
3.23458,3.15933,3.18236,2.91205,3.37435
3.23612,3.16086,3.18697,2.89054,3.37896
3.23766,3.16393,3.19004,2.87979,3.38357
3.23919,3.16393,3.19311,2.87672,3.38664
3.23919,3.16393,3.19772,2.87826,3.38971
3.23919,3.16547,3.19772,2.88133,3.38971
3.23919,3.16547,3.19926,2.88747,3.38971
3.23919,3.16547,3.20079,2.89208,3.38971
3.23919,3.16547,3.20079,2.89976,3.38971
3.23919,3.16547,3.20233,2.90744,3.38971
3.23919,3.16547,3.20233,2.91358,3.38971
3.23612,3.16547,3.20233,2.92126,3.38971
3.23458,3.16547,3.20233,2.92741,3.38817
3.23305,3.16547,3.20079,2.93048,3.38971
3.23151,3.16547,3.19926,2.93048,3.38971
3.22998,3.16547,3.19619,2.93201,3.38817
3.22844,3.167,3.19004,2.93201,3.3851
3.2269,3.167,3.18544,2.93048,3.3851
3.22537,3.167,3.17622,2.92741,3.38357
3.22537,3.16854,3.16393,2.9228,3.38203
3.22383,3.17008,3.15011,2.91512,3.38049
3.22383,3.17008,3.13629,2.90744,3.37896
3.2223,3.17161,3.12246,2.89669,3.37589
3.22076,3.17161,3.10864,2.88594,3.37435
3.22076,3.17161,3.09635,2.87211,3.37128
3.21922,3.17161,3.08407,2.85675,3.36821
3.21922,3.17161,3.07332,2.83679,3.36513
3.21769,3.17161,3.0641,2.81836,3.36053
3.21769,3.17161,3.05642,2.79686,3.35592
3.21615,3.17161,3.04874,2.77535,3.35131
3.21462,3.17161,3.04413,2.75078,3.34517
3.21308,3.17161,3.03799,2.72774,3.34056
3.21308,3.17161,3.03645,2.70163,3.33288
3.21308,3.17161,3.03338,2.67245,3.3252
3.21155,3.17161,3.03338,2.64173,3.31445
3.21155,3.17161,3.03338,2.61101,3.30523
3.21308,3.17315,3.03338,2.57876,3.29141
3.21155,3.17315,3.03338,2.54497,3.27759
3.21155,3.17622,3.03338,2.50964,3.26377
3.21155,3.17776,3.03338,2.47278,3.24994
3.21155,3.17776,3.03338,2.43592,3.23151
3.21155,3.17929,3.03338,2.4006,3.21308
3.21155,3.17929,3.03338,2.36373,3.19619
3.21155,3.17929,3.03185,2.3238,3.17776
3.21155,3.17929,3.03185,2.2854,3.15933
3.21155,3.17929,3.03185,2.24547,3.13936
3.21155,3.17929,3.03185,2.20554,3.12246
3.21155,3.17929,3.03031,2.1656,3.1071
3.21308,3.17929,3.02877,2.1226,3.09482
3.21462,3.17929,3.02724,2.08113,3.08099
3.21462,3.18083,3.02417,2.03966,3.07024
3.21615,3.18083,3.02417,1.99819,3.06103
3.21769,3.18236,3.02417,1.95672,3.05642
3.22076,3.18236,3.02263,1.91833,3.05335
3.22076,3.18236,3.0211,1.883,3.05335
3.22383,3.1839,3.01956,1.84921,3.05335
3.2269,3.1839,3.01956,1.82003,3.05335
3.2269,3.18544,3.01956,1.79085,3.05335
3.22844,3.18544,3.02263,1.76781,3.05335
3.22844,3.18544,3.02417,1.75399,3.05335
3.22844,3.18544,3.02724,1.74938,3.05335
3.22844,3.18544,3.03185,1.75091,3.05335
3.22844,3.18544,3.03799,1.75399,3.05335
3.22844,3.18544,3.04567,1.76013,3.05335
3.22998,3.18544,3.05642,1.76781,3.05335
3.23151,3.18544,3.06717,1.78163,3.05335
3.23305,3.1839,3.07792,1.80006,3.05335
3.23151,3.1839,3.08867,1.82464,3.05335
3.23305,3.18236,3.09789,1.85228,3.05335
3.23305,3.18236,3.10403,1.88454,3.05335
3.23305,3.17929,3.11171,1.91986,3.05335
3.23305,3.17776,3.11632,1.9598,3.05335
3.23151,3.17622,3.12246,2.0028,3.05335
3.23151,3.17468,3.12554,2.05041,3.05181
3.22844,3.17315,3.12861,2.09956,3.05181
3.22844,3.17161,3.12861,2.15025,3.05181
3.2269,3.17008,3.12861,2.20247,3.05181
3.2269,3.16854,3.12861,2.25929,3.05181
3.22537,3.16854,3.12861,2.31459,3.05181
3.22537,3.167,3.12861,2.37295,3.05181
3.22383,3.167,3.12861,2.43285,3.05181
3.22383,3.167,3.12861,2.49121,3.05181
3.22383,3.167,3.12861,2.55265,3.05181
3.22537,3.167,3.13014,2.61101,3.05181
3.22537,3.167,3.13014,2.67245,3.05181
3.22383,3.16547,3.13322,2.72928,3.05181
3.22383,3.16547,3.13475,2.78918,3.05181
3.22383,3.16547,3.13782,2.84908,3.05181
3.22537,3.16393,3.14243,2.90898,3.05181
3.22537,3.16393,3.1455,2.96887,3.05181
3.22383,3.1624,3.15165,3.0257,3.05181
3.22383,3.1624,3.15779,3.08714,3.05181
3.22383,3.1624,3.16393,3.14857,3.05181
3.22383,3.16086,3.167,3.20694,3.05181
3.22383,3.16086,3.17161,3.26684,3.05181
3.22383,3.15933,3.17468,3.32674,3.05181
3.22383,3.15933,3.17929,3.3851,3.05181
3.2223,3.15779,3.1839,3.445,3.05181
3.2223,3.15625,3.18697,3.5049,3.05181
3.2223,3.15472,3.19158,3.56326,3.05181
3.22383,3.15472,3.19619,3.62163,3.05181
3.22383,3.15472,3.19926,3.67999,3.05181
3.22383,3.15318,3.19926,3.73682,3.05181
3.22537,3.15318,3.19926,3.79518,3.05181
3.22537,3.15318,3.20079,3.85048,3.05181
3.2269,3.15318,3.20079,3.90423,3.05181
3.22844,3.15318,3.20079,3.95492,3.05181
3.22998,3.15472,3.20079,4.00099,3.05181
3.23305,3.15472,3.20079,4.044,3.05181
3.23458,3.15625,3.20079,4.08239,3.05181
3.23766,3.15779,3.19772,4.11465,3.05181
3.24073,3.15779,3.19772,4.13922,3.05181
3.24534,3.15779,3.19619,4.15305,3.05335
3.24687,3.15779,3.19311,4.15765,3.05181
3.24994,3.15779,3.19158,4.15458,3.05335
3.24994,3.15779,3.19004,4.1469,3.05181
3.25301,3.15779,3.18697,4.13308,3.05335
3.25301,3.15933,3.18236,4.11465,3.05181
3.25301,3.15779,3.17622,4.087,3.05335
3.25455,3.15779,3.17161,4.05628,3.05181
3.25301,3.15933,3.16547,4.01942,3.05181
3.25301,3.15779,3.15625,3.97335,3.05335
3.25148,3.15933,3.15011,3.92113,3.05335
3.25148,3.16086,3.14243,3.86583,3.05181
3.25148,3.16086,3.13629,3.80747,3.05181
3.24994,3.1624,3.13168,3.74143,3.05181
3.24994,3.16393,3.12707,3.67692,3.05335
3.24994,3.16547,3.12246,3.60781,3.05181
3.24841,3.167,3.11786,3.53715,3.05181
3.24841,3.16854,3.11478,3.46497,3.05181
3.24841,3.17008,3.11171,3.38971,3.05181
3.24841,3.17161,3.11171,3.31599,3.05181
3.24841,3.17315,3.11171,3.2438,3.05181
3.24841,3.17468,3.11018,3.17161,3.05181
3.24841,3.17315,3.11018,3.10096,3.05181
3.24841,3.17468,3.11018,3.02877,3.05181
3.24841,3.17468,3.11018,2.95966,3.05181
3.24841,3.17468,3.11018,2.89054,3.05181
3.24687,3.17468,3.10864,2.82143,3.05181
3.24687,3.17468,3.10864,2.75231,3.05181
3.24841,3.17468,3.10864,2.68627,3.05181
3.24841,3.17468,3.10864,2.61869,3.05181
3.24687,3.17468,3.1071,2.55418,3.05181
3.24841,3.17468,3.1071,2.48661,3.05181
3.24687,3.17468,3.1071,2.4221,3.05181
3.24687,3.17468,3.1071,2.35605,3.05181
3.24687,3.17468,3.1071,2.29462,3.05181
3.24534,3.17468,3.1071,2.23011,3.05181
3.24534,3.17468,3.1071,2.16868,3.05181
3.24687,3.17468,3.1071,2.11031,3.05181
3.24687,3.17622,3.1071,2.05656,3.05181
3.24687,3.17622,3.10864,2.00434,3.05181
3.24841,3.17622,3.10864,1.95672,3.05181
3.24994,3.17622,3.10864,1.91218,3.05181
3.24994,3.17622,3.10864,1.87532,3.05181
3.25148,3.17622,3.11171,1.84921,3.05181
3.25148,3.17622,3.11171,1.83385,3.05181
