waist,shoulder,elbow,wrist_angle,wrist_rotate
3.15625,2.86904,2.9059,3.03185,3.14089
3.15472,2.85983,2.89515,3.03185,3.14089
3.15318,2.84908,2.8844,3.03031,3.14089
3.15165,2.8414,2.87519,3.02877,3.14089
3.15011,2.83218,2.86597,3.02877,3.14089
3.14704,2.82143,2.85522,3.0257,3.14089
3.1455,2.81068,2.846,3.02417,3.14089
3.14397,2.79993,2.83679,3.01956,3.14089
3.14243,2.79071,2.82911,3.01649,3.14089
3.13936,2.7815,2.82143,3.01188,3.14089
3.13936,2.77075,2.81375,3.00727,3.14089
3.13629,2.76153,2.80607,3.0042,3.14089
3.13475,2.75231,2.79993,2.99959,3.14089
3.13322,2.7431,2.79225,2.99345,3.14089
3.13168,2.73388,2.78457,2.98884,3.14089
3.13014,2.72467,2.77689,2.98423,3.14089
3.12861,2.71545,2.76921,2.98116,3.14089
3.12707,2.70624,2.75999,2.97502,3.14089
3.12554,2.69549,2.75231,2.97041,3.14089
3.12554,2.68627,2.7431,2.9658,3.14089
3.12246,2.67706,2.73542,2.9612,3.14089
3.12093,2.66784,2.7262,2.95505,3.14089
3.12093,2.66016,2.71852,2.95044,3.14089
3.12093,2.64941,2.71085,2.94584,3.14089
3.12093,2.64173,2.70317,2.93969,3.14089
3.12093,2.63405,2.69549,2.93509,3.14089
3.12246,2.6233,2.68934,2.92894,3.14089
3.12246,2.61562,2.6832,2.9228,3.14089
3.124,2.6064,2.67552,2.91819,3.14089
3.12554,2.59719,2.66784,2.91205,3.14089
3.12707,2.58951,2.65863,2.90437,3.14089
3.12861,2.57876,2.64941,2.89822,3.14089
3.13014,2.57108,2.64019,2.89054,3.14089
3.13168,2.56033,2.63252,2.8844,3.14089
3.13322,2.55265,2.62484,2.87979,3.14089
3.13322,2.54343,2.61562,2.87672,3.14089
3.13475,2.53422,2.60794,2.87365,3.14089
3.13629,2.52654,2.60026,2.86597,3.14089
3.13936,2.51579,2.59258,2.85983,3.14089
3.14089,2.50504,2.5849,2.85522,3.14089
3.14243,2.49428,2.57569,2.85368,3.14089
3.14397,2.48353,2.56494,2.85368,3.14089
3.1455,2.47432,2.55726,2.85368,3.14089
3.14704,2.46357,2.54804,2.85368,3.14089
3.14704,2.45282,2.53883,2.85215,3.14089
3.14704,2.44206,2.52807,2.85061,3.13936
3.14704,2.42978,2.51579,2.85215,3.13936
3.14704,2.41749,2.5035,2.85215,3.13936
3.14704,2.40213,2.49275,2.85215,3.13936
3.14857,2.39138,2.48046,2.85215,3.13782
3.14857,2.37756,2.46817,2.85215,3.13782
3.14857,2.36373,2.45589,2.85215,3.13782
3.14704,2.35145,2.4436,2.85215,3.13782
3.14857,2.33916,2.43131,2.85215,3.13782
3.14857,2.32534,2.41903,2.85215,3.13782
3.14704,2.31151,2.40674,2.85215,3.13782
3.1455,2.29616,2.39292,2.85215,3.13782
3.14397,2.28233,2.37909,2.85215,3.13782
3.14397,2.26697,2.36681,2.85061,3.13782
3.14397,2.25161,2.35298,2.85215,3.13629
3.1455,2.23472,2.3407,2.85215,3.13629
3.1455,2.21936,2.32687,2.85215,3.13629
3.1455,2.20093,2.31459,2.85215,3.13629
3.1455,2.18557,2.30383,2.85215,3.13475
3.1455,2.17021,2.29155,2.85215,3.13475
3.1455,2.15332,2.2808,2.85215,3.13475
3.1455,2.13642,2.27005,2.85215,3.13475
3.1455,2.12106,2.26083,2.85215,3.13475
3.1455,2.10417,2.25161,2.85215,3.13475
3.1455,2.08727,2.2424,2.85215,3.13475
3.1455,2.07038,2.23318,2.85215,3.13475
3.1455,2.05348,2.22243,2.85215,3.13475
3.1455,2.03813,2.21322,2.85215,3.13475
3.14704,2.02277,2.20247,2.85215,3.13475
