waist,shoulder,elbow,wrist_angle,wrist_rotate
3.17161,3.12554,3.12707,3.0426,3.22998
3.17161,3.12554,3.12707,3.0426,3.22998
3.17161,3.12554,3.12707,3.0426,3.22998
3.17008,3.12554,3.12707,3.0426,3.22998
3.17008,3.12554,3.12707,3.04413,3.22998
3.17008,3.12554,3.12707,3.0426,3.22998
3.17008,3.12554,3.12861,3.0426,3.22844
3.17008,3.12554,3.12861,3.0426,3.22998
3.17008,3.12554,3.12861,3.0426,3.22998
3.17008,3.12554,3.12861,3.0426,3.22998
3.16854,3.12554,3.13014,3.0426,3.22998
3.16854,3.12554,3.13168,3.0426,3.22998
3.167,3.12554,3.13322,3.04413,3.22998
3.16547,3.12554,3.13322,3.0426,3.22998
3.16393,3.12554,3.13475,3.0426,3.22844
3.1624,3.12707,3.13475,3.0426,3.22998
3.1624,3.12554,3.13629,3.0426,3.22998
3.16086,3.12554,3.13629,3.0426,3.22998
3.15933,3.12554,3.13475,3.0426,3.22998
3.15933,3.12554,3.13475,3.0426,3.22998
3.15779,3.12554,3.13475,3.04413,3.22998
3.15625,3.12554,3.13475,3.0426,3.22998
3.15625,3.12554,3.13629,3.0426,3.22998
3.15625,3.12554,3.13475,3.0426,3.22998
3.15472,3.12554,3.13475,3.0426,3.22998
3.15472,3.12554,3.13322,3.04413,3.22844
3.15318,3.12554,3.13168,3.0426,3.22998
3.15165,3.12554,3.13014,3.0426,3.22998
3.15165,3.12554,3.12861,3.0426,3.22998
3.15011,3.12554,3.12554,3.0426,3.22998
3.15011,3.12554,3.124,3.0426,3.22998
3.14857,3.12707,3.12093,3.0426,3.22998
3.15011,3.12554,3.11939,3.0426,3.22998
3.14857,3.12554,3.11632,3.0426,3.22998
3.15011,3.12554,3.11325,3.0426,3.22998
3.15011,3.12554,3.11171,3.04413,3.22998
3.15165,3.12554,3.11018,3.0426,3.22998
3.15318,3.12554,3.11018,3.0426,3.22998
3.15472,3.12554,3.11018,3.0426,3.22998
3.15625,3.12554,3.11018,3.0426,3.22998
3.15779,3.12554,3.11018,3.0426,3.22998
3.15933,3.12554,3.11171,3.0426,3.22998
3.16086,3.12554,3.11325,3.0426,3.22998
3.1624,3.12707,3.11478,3.0426,3.22998
3.1624,3.12554,3.11632,3.0426,3.22998
3.16393,3.12554,3.11939,3.0426,3.22998
3.16393,3.12554,3.11939,3.0426,3.22998
3.16547,3.12554,3.12246,3.0426,3.22844
3.16547,3.12554,3.12246,3.0426,3.22998
3.16547,3.12707,3.124,3.0426,3.22998
3.16547,3.12554,3.12246,3.0426,3.22998
3.16547,3.12554,3.12246,3.0426,3.22998
3.16547,3.12554,3.12093,3.0426,3.22998
3.16547,3.12707,3.12093,3.0426,3.22998
3.16547,3.12554,3.11939,3.0426,3.22998
3.16547,3.12554,3.11786,3.0426,3.22998
3.16393,3.12554,3.11632,3.0426,3.22998
3.16393,3.12554,3.11325,3.0426,3.22998
3.16393,3.12707,3.11325,3.0426,3.22998
3.16547,3.12554,3.11171,3.0426,3.22998
3.16547,3.12707,3.11018,3.0426,3.22998
3.16547,3.12554,3.11018,3.0426,3.22998
3.167,3.12554,3.10864,3.0426,3.22998
3.16854,3.12554,3.10864,3.0426,3.22998
3.16854,3.12707,3.10864,3.0426,3.22998
3.17008,3.12861,3.10864,3.0426,3.22844
3.16854,3.13168,3.10864,3.0426,3.22844
3.167,3.13629,3.11018,3.0426,3.22844
3.16393,3.14243,3.11018,3.04567,3.22844
3.1624,3.15011,3.11018,3.05028,3.22998
3.15779,3.15933,3.11325,3.05335,3.22998
3.15472,3.16854,3.11478,3.05488,3.22998
3.15472,3.17776,3.11632,3.05949,3.22998
3.15472,3.1839,3.11632,3.0641,3.22998
3.15318,3.19311,3.11786,3.07024,3.22998
3.15472,3.20233,3.11786,3.07792,3.22998
3.15472,3.21001,3.11786,3.08867,3.22998
3.15625,3.21615,3.11786,3.09943,3.22998
3.15625,3.22383,3.11632,3.11478,3.22998
3.15779,3.23151,3.11325,3.13629,3.22998
3.15779,3.24073,3.11171,3.15933,3.22998
3.15933,3.24841,3.10864,3.18851,3.22998
3.16086,3.25762,3.10557,3.21922,3.22998
3.16086,3.26684,3.10096,3.25148,3.22998
3.1624,3.27605,3.09635,3.28373,3.22998
3.16393,3.28527,3.09328,3.31599,3.22998
3.16547,3.29602,3.08867,3.34517,3.22998
3.167,3.3037,3.08253,3.37128,3.22998
3.16854,3.31291,3.07639,3.39892,3.22998
3.17008,3.32059,3.07024,3.41735,3.22998
3.17315,3.32827,3.0641,3.43271,3.22998
3.17468,3.33442,3.05796,3.43886,3.22998
3.17776,3.3421,3.05028,3.43886,3.22998
3.18236,3.34824,3.04413,3.43886,3.22998
3.18544,3.35592,3.03645,3.43886,3.22998
3.19004,3.3636,3.02877,3.43886,3.22998
3.19619,3.37128,3.02263,3.43886,3.22998
3.20079,3.38049,3.01649,3.44346,3.22998
3.20387,3.38817,3.00881,3.44654,3.22998
3.20847,3.39892,3.0042,3.45114,3.22998
3.21462,3.40968,3.00113,3.45729,3.22998
3.22076,3.41889,2.99652,3.4665,3.22998
